分類,手指餅乾,咖啡,酒,開水,可可粉,雞蛋,麵粉,砂糖,牛奶,奶油,馬斯卡彭,巧克力
提拉米蘇,15,80,45,30,25,2,10,70,260,10,0,0
提拉米蘇,20,40,20,0,20,3,0,50,0,0,250,0
提拉米蘇,18,350,40,0,0,2,0,40,0,35,330,0
提拉米蘇,25,200,80,0,30,3,0,75,0,350,454,0
提拉米蘇,4,0,0,80,20,4,60,65,0,90,500,0
提拉米蘇,0,0,20,0,0,2,60,90,0,150,250,0
提拉米蘇,10,0,0,0,10,3,0,50,0,0,250,0
提拉米蘇,8,40,0,0,10,2,0,20,0,0,250,0
提拉米蘇,0,50,0,0,0,0,0,10,0,100,250,0
提拉米蘇,10,60,15,0,20,2,0,50,0,175,250,0
提拉米蘇,20,65,30,0,25,2,0,37,0,135,150,0
提拉米蘇,10,150,25,0,20,2,0,50,0,0,250,0
提拉米蘇,12,60,10,0,15,3,0,25,0,0,280,0
提拉米蘇,10,40,20,0,10,0,0,40,0,350,500,0
提拉米蘇,0,300,90,0,40,4,105,105,0,450,500,0
提拉米蘇,0,0,0,0,10,2,50,83,70,170,200,0
提拉米蘇,10,150,0,0,20,2,0,55,0,150,250,0
提拉米蘇,16,60,0,50,15,2,30,65,70,200,0,0
提拉米蘇,16,200,50,0,25,4,0,30,0,100,500,0
提拉米蘇,10,240,30,0,25,3,0,75,0,0,25,0
提拉米蘇,10,60,0,0,15,2.5,0,40,0,0,250,0
提拉米蘇,10,45,15,20,20,0,0,15,10,0,250,0
提拉米蘇,8,50,50,0,10,3,0,60,0,250,500,0
提拉米蘇,20,40,20,0,15,1,0,83,0,250,250,0
巧克力蛋糕,0,0,0,0,0,3,30,50,0,100,0,100
巧克力蛋糕,0,0,0,0,30,2,10,10,0,130,0,160
巧克力蛋糕,0,0,0,0,15,4,0,75,50,295,0,130
巧克力蛋糕,0,0,0,0,20,2,40,60,0,85,0,110
巧克力蛋糕,0,0,0,0,15,3,50,50,0,35,0,0
巧克力蛋糕,0,0,0,0,0,2,40,35,0,75,0,75
巧克力蛋糕,0,0,0,0,0,3,60,40,40,0,0,50
巧克力蛋糕,0,50,0,0,25,8,100,100,100,0,0,0
巧克力蛋糕,0,0,0,0,0,1,15,40,0,37.5,0,40
巧克力蛋糕,0,0,0,0,0,2,30,30,0,50,0,90
巧克力蛋糕,0,0,0,0,0,1,15,20,0,32,0,40
巧克力蛋糕,0,0,15,0,15,1,45,25,45,0,0,0
巧克力蛋糕,0,0,0,0,30,2,90,120,0,85,0,100
巧克力蛋糕,0,0,0,0,20,3,20,0,40,40,0,120
巧克力蛋糕,0,0,0,0,10,3,60,50,30,250,0,185
巧克力蛋糕,0,0,0,0,10,3,150,100,40,125,0,220
巧克力蛋糕,0,0,0,0,9,3,71,70,56,170,0,0
巧克力蛋糕,0,0,0,0,19,3,38,55,53,150,0,0
巧克力蛋糕,0,0,0,30,30,4,40,270,0,240,0,250
巧克力蛋糕,0,0,0,0,20,5,60,65,70,0,0,10
巧克力蛋糕,0,0,0,0,25,5,80,80,130,0,0,150
巧克力蛋糕,0,0,0,0,25,3,140,50,0,80,0,240
巧克力蛋糕,0,0,0,0,30,2,95,170,170,0,0,225
巧克力蛋糕,0,0,0,0,20,2,90,50,0,100,0,150
巧克力蛋糕,0,0,0,0,10,4,20,40,0,35,0,150
乳酪蛋糕,0,0,0,0,0,2,25,60,60,125,0,0
乳酪蛋糕,0,0,0,0,0,2,30,100,200,150,0,0
乳酪蛋糕,0,0,0,0,0,2,8,70,30,300,0,0
乳酪蛋糕,0,0,0,0,0,2,10,65,100,250,0,0
乳酪蛋糕,0,0,0,0,0,2,20,50,50,120,0,0
乳酪蛋糕,0,0,0,0,0,1,10,80,150,300,0,0
乳酪蛋糕,0,0,0,0,0,4,35,57,85,226,0,0
乳酪蛋糕,0,0,0,0,0,2,10,30,120,250,0,0
乳酪蛋糕,0,0,0,0,0,1,0,30,575,375,0,0
乳酪蛋糕,0,0,0,0,0,1,0,50,60,250,0,0
乳酪蛋糕,0,0,0,0,0,0,15,120,150,150,0,0
乳酪蛋糕,0,0,15,0,0,1,20,50,250,150,0,0
乳酪蛋糕,0,0,0,0,0,2,10,75,250,170,0,0
乳酪蛋糕,0,0,0,0,0,3,30,50,50,125,0,0
乳酪蛋糕,0,0,0,0,0,3,35,30,35,150,0,0
乳酪蛋糕,0,0,0,0,0,2,0,70,30,325,0,0
乳酪蛋糕,0,0,0,0,0,3,30,100,50,100,0,0
乳酪蛋糕,0,0,0,0,0,1.5,10,60,250,125,0,0
乳酪蛋糕,0,0,0,0,0,2,7,60,226,110,0,0
乳酪蛋糕,0,0,0,0,0,3,20,40,200,250,0,0
乳酪蛋糕,0,0,0,0,0,2,55,7,225,110,0,0
乳酪蛋糕,0,0,0,0,0,2,8,100,330,150,0,0
乳酪蛋糕,0,0,0,0,0,2,50,9,250,0,0,0
乳酪蛋糕,0,0,0,0,0,2,0,60,300,30,0,0
乳酪蛋糕,0,0,0,0,0,4,50,60,125,175,0,0
脆皮泡芙,0,0,0,0,3,2,160,35,435,245,0,150
脆皮泡芙,0,0,0,192,0,4,142,63,351,113,0,0
脆皮泡芙,0,0,0,0,0,4,125,125,340,280,0,0
脆皮泡芙,0,0,0,75,0,3,85,5,75,75,0,0
脆皮泡芙,0,0,0,0,0,4,105,60,335,245,0,0
